Rank,Team,Matches played,Win,Draw,Loss,Goals Scored,Goals Conceded,Goal Difference,Points,Expected Goals Scored,Expected Goals Conceded,Expected Goal Difference,Expected Points
1,Liverpool,38,32,3,3,85,33,52,99,68.9,37.7,31.2,74.3
2,Manchester City,38,26,3,9,102,35,67,81,92,36.2,55.7,86.8
3,Manchester United,38,18,12,8,66,36,30,66,62.2,37.7,24.5,71
4,Chelsea,38,20,6,12,69,54,15,66,69.2,38.6,30.6,73.5
5,Leicester City,38,18,8,12,67,41,26,62,62.2,45.5,16.7,61.2
6,Tottenham,38,16,11,11,61,47,14,59,47.9,54.2,-6.3,49.3
7,Wolves,38,15,14,9,51,40,11,59,54.1,38,16.1,63.8
8,Arsenal,38,14,14,10,56,48,8,56,47,55.3,-8.3,50.2
9,Sheffield United,38,14,12,12,39,39,0,54,43,51,-7.9,49.3
10,Burnley,38,15,9,14,43,50,-7,54,47.4,49.8,-2.4,49.5
11,Southampton,38,15,7,16,51,60,-9,52,56.1,52.8,3.3,56.9
12,Everton,38,13,10,15,44,56,-12,49,50.8,48.3,2.5,55.8
13,Newcastle,38,11,11,16,38,58,-20,44,35.5,65.6,-30.1,31.9
14,Crystal Palace,38,11,10,17,31,50,-19,43,35.8,57,-21.2,38.3
15,Brighton,38,9,14,15,39,54,-15,41,45.4,55,-9.5,48
16,West Ham,38,10,9,19,49,62,-13,39,48.6,63.8,-15.2,38.8
17,Aston Villa,38,9,8,21,41,67,-26,35,44.3,67.8,-23.5,37.2
18,Bournemouth,38,9,7,22,40,65,-25,34,44.8,62.3,-17.5,39.2
19,Watford,38,8,10,20,36,64,-28,34,48.9,58.1,-9.3,47.9
20,Norwich,38,5,6,27,26,75,-49,21,37,66.5,-29.5,33.1
