Rank,Team,Matches played,Win,Draw,Loss,Goals Scored,Goals Conceded,Goal Difference,Points,Expected Goals Scored,Expected Goals Conceded,Expected Goal Difference,Expected Points
1,Manchester City,38,32,4,2,106,27,79,100,78.6,23.8,54.8,91.1
2,Manchester United,38,25,6,7,68,28,40,81,55.7,40.7,15,62.3
3,Tottenham,38,23,8,7,74,36,38,77,64.7,33.9,30.8,76
4,Liverpool,38,21,12,5,84,38,46,75,72.9,33.8,39.1,79.4
5,Chelsea,38,21,7,10,62,38,24,70,54.4,33.8,20.6,68.5
6,Arsenal,38,19,6,13,74,51,23,63,68.3,47.8,20.5,65.9
7,Burnley,38,14,12,12,36,39,-3,54,32.3,51.2,-18.9,41
8,Everton,38,13,10,15,44,58,-14,49,40.5,52.4,-11.9,47
9,Leicester City,38,12,11,15,56,60,-4,47,50,48.1,1.9,55.9
10,Newcastle,38,12,8,18,39,47,-8,44,41.6,52.4,-10.8,46.2
11,Crystal Palace,38,11,11,16,45,55,-10,44,53.5,48.2,5.2,58
12,Bournemouth,38,11,11,16,45,61,-16,44,38.8,59.2,-20.4,37.6
13,West Ham,38,10,12,16,48,68,-20,42,36.7,55.1,-18.4,39.3
14,Watford,38,11,8,19,44,64,-20,41,45,51.8,-6.8,46.7
15,Brighton,38,9,13,16,34,54,-20,40,37,50.8,-13.8,40.9
16,Huddersfield,38,9,10,19,28,58,-30,37,31.3,48.5,-17.2,36.8
17,Southampton,38,7,15,16,37,56,-19,36,39.9,45.2,-5.3,48.7
18,Swansea,38,8,9,21,28,56,-28,33,31.6,58.6,-27,32.3
19,Stoke,38,7,12,19,35,68,-33,33,36.5,62.5,-26,36.2
20,West Brom,38,6,13,19,31,56,-25,31,36.5,47.9,-11.4,43
