Rank,Team,Matches played,Win,Draw,Loss,Goals Scored,Goals Conceded,Goal Difference,Points,Expected Goals Scored,Expected Goals Conceded,Expected Goal Difference,Expected Points
1,Manchester City,38,28,5,5,94,33,61,89,78.6,32.1,46.5,83
2,Arsenal,38,26,6,6,88,43,45,84,71.6,42,29.6,72.5
3,Manchester United,38,23,6,9,58,43,15,75,67.7,50.4,17.3,66.4
4,Newcastle,38,19,14,5,68,33,35,71,71.9,39.5,32.3,71.7
5,Liverpool,38,19,10,9,75,47,28,67,71.5,50.8,20.7,67.4
6,Brighton,38,18,8,12,72,53,19,62,73.3,50.2,23.1,70.9
7,Aston Villa,38,18,7,12,51,46,5,61,50.3,52.5,-2.2,54.4
8,Tottenham,38,18,6,14,70,63,7,60,57,49.6,7.4,57.6
9,Brentford,38,15,14,9,58,46,12,59,56.3,48.8,7.5,58.3
10,Fulham,38,15,7,16,55,53,2,52,46.2,63.6,-17.4,39.2
11,Crystal Palace,38,11,12,15,40,49,-9,45,39.3,48.1,-8.8,44.2
12,Chelsea,38,11,11,16,38,47,-9,44,49.5,52.5,-3,52.3
13,Wolves,38,11,8,19,31,58,-27,41,36.8,59.9,-23,35
14,West Ham,38,11,7,20,42,55,-13,40,49.2,53,-3.9,51.6
15,Bournemouth,38,11,6,21,37,71,-34,39,38.5,63.8,-25.3,34.7
16,Nottingham Forest,38,9,11,18,38,68,-30,38,39.3,64.2,-24.9,35.1
17,Everton,38,8,12,18,34,57,-23,36,45.2,65.5,-20.4,40.7
18,Leicester City,38,9,7,22,51,68,-17,34,50.5,63.3,-12.8,45.1
19,Leeds,38,7,10,21,48,78,-30,31,47.3,67.1,-19.8,40.6
20,Southampton,38,6,7,25,36,73,-37,25,37.8,60.8,-23,36.5
