Rank,Team,Matches played,Win,Draw,Loss,Goals Scored,Goals Conceded,Goal Difference,Points,Expected Goals Scored,Expected Goals Conceded,Expected Goal Difference,Expected Points
1,Manchester City,38,32,2,4,95,23,72,98,84.3,24.7,59.6,90.6
2,Liverpool,38,30,7,1,89,22,67,97,73.7,28.8,44.9,83.5
3,Chelsea,38,21,9,8,63,39,24,72,58.6,36.4,22.2,71.5
4,Tottenham,38,23,2,13,67,39,28,71,54.9,47.1,7.8,61.4
5,Arsenal,38,21,7,10,73,51,22,70,60.1,54.2,5.8,59
6,Manchester United,38,19,9,10,65,54,11,66,61.4,50.6,10.8,61.9
7,Wolves,38,16,9,13,47,46,1,57,52.1,42.1,10.1,60
8,Everton,38,15,9,14,54,46,8,54,49.7,45.7,4,55.5
9,Leicester City,38,15,7,16,51,48,3,52,52.4,43.7,8.7,56.2
10,West Ham,38,15,7,16,52,55,-3,52,47.6,61.9,-14.3,43.7
11,Watford,38,14,8,16,52,59,-7,50,48.2,59.2,-11,46
12,Crystal Palace,38,14,7,17,51,53,-2,49,47.6,50.1,-2.5,51.9
13,Newcastle,38,12,9,17,42,48,-6,45,39.1,53.6,-14.5,39.2
14,Bournemouth,38,13,6,19,56,70,-14,45,53.3,57.2,-3.9,51.5
15,Burnley,38,11,7,20,45,68,-23,40,44.4,62.1,-17.7,42
16,Southampton,38,9,12,17,45,65,-20,39,46.9,55.1,-8.2,45.1
17,Brighton,38,9,9,20,35,60,-25,36,35.3,59.1,-23.8,36.2
18,Cardiff City,38,10,4,24,34,69,-35,34,42.4,61.5,-19.1,37.5
19,Fulham,38,7,5,26,34,81,-47,26,41.3,68.2,-26.8,33.6
20,Huddersfield,38,3,7,28,22,76,-54,16,28.8,60.9,-32.2,29.6
