Team,Wins,Draws,Losses,Points
Manchester City,28,7,3,91
Arsenal,28,5,5,89
Liverpool,24,10,4,82
Tottenham,20,6,12,66
Chelsea,18,9,11,63
Manchester United,18,6,14,60
